,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Bud31,0.008244169,0.188431994,0.216,0.169,1
Ppp3cc,0.008263175,-1.209253528,0.122,0.058,1
Acin1,0.008268378,-0.213224574,0.479,0.371,1
Rnls,0.008294297,-1.493398738,0.077,0.028,1
Gm44503,0.008304793,0.318365412,0.328,0.288,1
Cux2,0.008320725,-0.522275272,0.136,0.072,1
Trp73,0.008331594,-0.682019754,0.186,0.108,1
Ccl4,0.008334407,-2.316202959,0.042,0.008,1
Zgpat,0.00833803,-0.215563145,0.129,0.069,1
Pxmp4,0.008340946,-2.159568848,0.074,0.03,1
Sppl3,0.008357829,0.469505734,0.29,0.269,1
Cfap96,0.008359139,-0.12231488,0.333,0.244,1
Tmem30a,0.008372828,0.144517228,0.241,0.18,1
ENSMUSG00000127334,0.008383088,-1.955888857,0.042,0.008,1
0610009E02Rik,0.008394188,-0.640883563,0.146,0.078,1
Sfpq,0.008394331,-0.332595314,0.481,0.371,1
Gm40155,0.008395619,1.393439867,0.057,0.055,1
Rlim,0.008404577,-0.26416857,0.261,0.177,1
Ndufa3,0.008408348,-0.155827334,0.692,0.587,1
Pdk1,0.008416095,-0.679264354,0.184,0.105,1
Napg,0.008450922,-0.517530726,0.293,0.197,1
Orc4,0.008453122,-1.494521115,0.099,0.044,1
Zfp521,0.008459928,-0.922266943,0.092,0.039,1
Stard10,0.008506647,0.305516404,0.538,0.521,1
Ghitm,0.008543011,0.26735688,0.362,0.324,1
Srf,0.008556922,-0.260185325,0.263,0.177,1
Hdac11,0.008558272,-2.314150432,0.047,0.011,1
Eppk1,0.008558455,-0.435991645,0.556,0.452,1
Efcab12,0.008560606,-0.591057344,0.213,0.13,1
D630024D03Rik,0.008584327,-0.199251236,0.556,0.452,1
Trrap,0.00858889,0.138493745,0.243,0.183,1
Foxq1,0.00859668,1.170072988,0.097,0.163,1
Il16,0.008604137,-1.279255147,0.057,0.017,1
Anapc15,0.00860708,-1.338278861,0.109,0.05,1
Kif2a,0.008611982,-0.258532906,0.449,0.346,1
Hspbp1,0.008615706,-0.447718704,0.318,0.219,1
Pcnx4,0.00861724,0.146352943,0.32,0.263,1
Klhl12,0.008638294,0.41664224,0.094,0.064,1
Nol7,0.00866511,0.247681604,0.39,0.343,1
Guk1,0.008669842,0.668942471,0.218,0.222,1
Max,0.008674306,-0.129294215,0.171,0.108,1
Txndc17,0.008720184,-0.562639683,0.345,0.244,1
Slc35f3,0.008726732,-0.694836275,0.087,0.036,1
Fgfr1op2,0.008742787,-0.40167804,0.218,0.139,1
AA986860,0.008755371,0.419443574,0.211,0.197,1
Igsf3,0.008772295,-0.916979642,0.129,0.064,1
Pef1,0.008773055,0.535631213,0.218,0.191,1
Rsrp1,0.008775608,-0.547076914,0.243,0.155,1
Pdlim5,0.008810062,0.168811768,0.72,0.657,1
Prdm11,0.008810908,-1.677414475,0.035,0.006,1
Ncmap,0.008820532,-1.495531187,0.089,0.036,1
D730003I15Rik,0.008821172,-1.251064013,0.102,0.044,1
Sorbs1,0.008821552,0.251951274,0.32,0.277,1
A730020E08Rik,0.008833662,-0.567026547,0.144,0.08,1
Nr2f2,0.008833891,-0.344481513,0.328,0.235,1
Naip5,0.008846862,1.701881168,0.032,0.08,1
Lrp10,0.008848049,0.222861574,0.38,0.335,1
Npas2,0.008853818,0.303552409,0.447,0.424,1
Sntb2,0.00885419,0.11210638,0.253,0.194,1
Atp5f1a,0.008861184,-0.141778203,0.645,0.54,1
Adss2,0.008864585,-0.336375274,0.449,0.341,1
Arf1,0.00886565,-0.157609973,0.524,0.424,1
ENSMUSG00000143469,0.008883864,-3.880866621,0.015,0,1
Gm56606,0.008883864,-3.350650503,0.015,0,1
ENSMUSG00000128068,0.008883864,-2.757472843,0.015,0,1
Gm26978,0.008883864,-3.476784703,0.015,0,1
ENSMUSG00000123773,0.008883864,-3.481759309,0.015,0,1
Crx,0.008883864,-2.818143755,0.015,0,1
ENSMUSG00000143153,0.008883864,-2.927021186,0.015,0,1
Chrna1,0.008883864,-2.942205914,0.015,0,1
Gm10684,0.008883864,-3.63689127,0.015,0,1
Akr1b7,0.008883864,-3.168290327,0.015,0,1
D630011A20Rik,0.008883864,-3.057139835,0.015,0,1
ENSMUSG00000139980,0.008883864,-3.285723848,0.015,0,1
Hoxb13,0.008883864,-3.460054767,0.015,0,1
Tbx19,0.008883864,-3.137092324,0.015,0,1
Xlr3b,0.008883864,-2.65565185,0.015,0,1
Gm12347,0.008883864,-3.449596336,0.015,0,1
Mis18bp1,0.008883864,-3.475238868,0.015,0,1
Abca9,0.008883864,-3.689847783,0.015,0,1
ENSMUSG00000128660,0.008883864,-2.409161541,0.015,0,1
Gm47043,0.008883864,-2.567097235,0.015,0,1
ENSMUSG00000129165,0.008883864,-3.829913473,0.015,0,1
Gm32540,0.008883864,-3.288074654,0.015,0,1
Gm28564,0.008883864,-2.95165546,0.015,0,1
Gimap3,0.008883864,-3.213444414,0.015,0,1
Gm16159,0.008883864,-3.790076237,0.015,0,1
ENSMUSG00000143813,0.008883864,-3.571593293,0.015,0,1
4921515G04Rik,0.008883864,-3.859078616,0.015,0,1
ENSMUSG00000132803,0.008883864,-2.899854286,0.015,0,1
ENSMUSG00000143488,0.008883864,-2.762826981,0.015,0,1
Gm45069,0.008883864,-4.08624902,0.015,0,1
Slc6a2,0.008883864,-3.545665831,0.015,0,1
ENSMUSG00000126800,0.008883864,-3.137692526,0.015,0,1
Cryba2,0.008883864,-3.713646602,0.015,0,1
ENSMUSG00000125149,0.008883864,-2.850736006,0.015,0,1
ENSMUSG00000130743,0.008883864,-2.583596393,0.015,0,1
Gm57305,0.008883864,-2.91847541,0.015,0,1
ENSMUSG00000132229,0.008883864,-3.29092538,0.015,0,1
ENSMUSG00000128193,0.008883864,-3.661846178,0.015,0,1
Gm57405,0.008883864,-3.857110327,0.015,0,1
Mpo,0.008883864,-3.521420832,0.015,0,1
Nes,0.008883864,-3.75108443,0.015,0,1
Galnt17,0.008883864,-2.831366646,0.015,0,1
ENSMUSG00000131663,0.008883864,-2.91818435,0.015,0,1
ENSMUSG00000132135,0.008883864,-3.152623905,0.015,0,1
ENSMUSG00000137164,0.008883864,-2.774474161,0.015,0,1
ENSMUSG00000143087,0.008883864,-3.634368339,0.015,0,1
Gm33148,0.008883864,-3.77412433,0.015,0,1
Zfp383,0.008883864,-3.438941195,0.015,0,1
ENSMUSG00000133897,0.008883864,-2.810211726,0.015,0,1
ENSMUSG00000141234,0.008883864,-3.350934743,0.015,0,1
Egfl7,0.008883864,-2.307591804,0.015,0,1
Gm34777,0.008883864,-2.401820837,0.015,0,1
4930470G03Rik,0.008883864,-3.877631293,0.015,0,1
Gm30301,0.008883864,-3.024613696,0.015,0,1
Slc24a1,0.008883864,-4.264798506,0.015,0,1
Tfap2c,0.008883864,-2.930381904,0.015,0,1
Gm45502,0.008883864,-3.085384696,0.015,0,1
Mrps16,0.008894244,0.512033309,0.194,0.175,1
Fam120c,0.008914912,-1.340934762,0.062,0.019,1
Tmem184a,0.008920662,0.957479669,0.151,0.147,1
ENSMUSG00000128967,0.008925807,-0.224932569,0.082,0.036,1
G3bp1,0.008927994,0.27863233,0.501,0.474,1
Kat7,0.008932932,0.818158024,0.127,0.122,1
Cpne7,0.008935091,-2.288853682,0.047,0.011,1
Gsta3,0.00893775,0.300349863,0.732,0.723,1
Atp6v1b2,0.008939783,-0.542409677,0.263,0.172,1
Susd2,0.008973756,1.985105518,0.037,0.08,1
Ppp5c,0.00897707,0.258320332,0.313,0.26,1
Ptpmt1,0.008989366,-0.384095336,0.392,0.288,1
Il27,0.008998548,-1.311688813,0.127,0.066,1
Cct4,0.009003015,-0.358265902,0.345,0.244,1
Trappc6b,0.009003368,-0.805010912,0.186,0.108,1
A830018L16Rik,0.009049364,-0.626371234,0.206,0.125,1
1700029K24Rik,0.009066042,-0.520576864,0.171,0.1,1
Pfkl,0.00907749,-0.136794728,0.367,0.274,1
App,0.009105911,0.199114224,0.6,0.562,1
Fam169b,0.009125362,-1.748005725,0.074,0.028,1
Slc4a2,0.009129544,0.387405656,0.313,0.288,1
Tcf20,0.00914266,0.514474278,0.243,0.233,1
Taldo1,0.009150539,-0.204081984,0.543,0.443,1
Ttc28,0.009160881,-0.456599738,0.514,0.41,1
Tuft1,0.009179663,-0.117542144,0.685,0.584,1
Trmt1l,0.009186438,-0.66896997,0.263,0.172,1
Gstp1,0.009211086,0.431993847,0.437,0.416,1
Sgms1,0.009217778,0.264677485,0.506,0.493,1
Cdkn2aip,0.009234908,-0.61205426,0.263,0.172,1
Gpbp1,0.009239537,0.443833692,0.191,0.169,1
Rgs3,0.009239538,-0.376855038,0.387,0.283,1
Agr3,0.009261486,0.27421127,0.402,0.36,1
Ubxn1,0.00927431,-0.169742021,0.454,0.352,1
Cops5,0.009288986,-0.285877712,0.357,0.26,1
Gm46515,0.009323429,-1.607079423,0.047,0.011,1
Wbp2,0.009332107,0.147118925,0.39,0.327,1
Axin1,0.009338836,0.571985257,0.231,0.205,1
Nwd1,0.009343245,0.527363985,0.315,0.332,1
Tmem120b,0.009367104,-2.208113017,0.052,0.014,1
Dnajb4,0.009369819,-0.449600622,0.298,0.202,1
Sypl1,0.009393702,0.157743889,0.33,0.285,1
Zfp52,0.00939511,-0.146490346,0.127,0.072,1
Gspt1,0.009407526,0.352853589,0.303,0.26,1
Lhpp,0.009443642,-1.423832491,0.067,0.022,1
Dusp1,0.009457109,-0.14113616,0.541,0.446,1
ENSMUSG00000129492,0.00946837,-0.821618295,0.045,0.011,1
Tsc22d1,0.009471335,-0.250449923,0.747,0.645,1
ENSMUSG00000131217,0.009485641,-2.154311833,0.057,0.017,1
Kdm5c,0.009505842,-0.328513923,0.31,0.216,1
Mrpl13,0.009507987,-0.36448641,0.226,0.144,1
Spata24,0.009518993,0.283084903,0.402,0.385,1
Syt10,0.009520235,-1.120581657,0.074,0.028,1
Tmem140,0.009520828,-1.17758491,0.084,0.033,1
Park7,0.009535837,0.136258778,0.697,0.629,1
Rps14,0.009537341,-0.169267474,0.953,0.909,1
ENSMUSG00000122793,0.009548359,0.106128351,0.114,0.066,1
Ccdc83,0.009566515,-0.609287001,0.05,0.014,1
Dnajb11,0.009570432,0.494703639,0.263,0.233,1
Zdhhc1,0.009571725,-0.301395722,0.682,0.576,1
Rdh5,0.009574835,0.260350247,0.496,0.471,1
Gm10033,0.009594017,-1.275473398,0.057,0.017,1
Mettl23,0.009611947,0.482673487,0.129,0.1,1
Fanci,0.009645483,-1.583612666,0.062,0.019,1
Serpinb10,0.009652417,0.993548902,0.02,0.061,1
Ndel1,0.009663889,-0.237769056,0.333,0.244,1
Pcnx1,0.009746199,0.575893418,0.241,0.252,1
Ss18,0.00977328,0.137357402,0.238,0.188,1
Muc16,0.009774773,0.125466252,0.533,0.476,1
Ndufaf4,0.00978556,-0.507481184,0.079,0.033,1
Xpo6,0.009789186,0.650038276,0.189,0.183,1
Sdf2,0.00982328,-0.216835636,0.328,0.238,1
Timm44,0.009825124,-0.241415837,0.132,0.072,1
Tgs1,0.009865918,-1.703963012,0.104,0.053,1
Arhgef12,0.009868045,0.208180378,0.538,0.501,1
Dpy19l4,0.009882831,0.828600281,0.191,0.219,1
Suz12,0.009891844,-0.468758032,0.107,0.053,1
Vopp1,0.009894465,1.591473133,0.074,0.122,1
Khdrbs3,0.009923563,-0.59340388,0.184,0.108,1
Mocos,0.009935408,1.629378047,0.065,0.094,1
Slc22a2,0.009944834,3.231257799,0,0.014,1
Igkv4-50,0.009944834,2.984645565,0,0.014,1
Gm48664,0.009944834,3.036672087,0,0.014,1
ENSMUSG00000122968,0.009944834,2.770726556,0,0.014,1
ENSMUSG00000142909,0.009944834,2.881666168,0,0.014,1
Gm57008,0.009944834,3.837885706,0,0.014,1
Txnl4b,0.009944834,4.324707657,0,0.014,1
ENSMUSG00000137273,0.009944834,3.369362638,0,0.014,1
Trim21,0.009944834,3.939963646,0,0.014,1
ENSMUSG00000132357,0.009944834,3.928132911,0,0.014,1
4930525G20Rik,0.009944834,3.629896759,0,0.014,1
ENSMUSG00000141413,0.009944834,3.477800123,0,0.014,1
Slfn14,0.009944834,2.891688561,0,0.014,1
Dusp16,0.009964079,0.38214712,0.39,0.371,1
Myh10,0.009964317,-0.498967425,0.109,0.055,1
Saysd1,0.009966358,-0.927185118,0.124,0.061,1
Gpc6,0.009974608,-1.707155436,0.062,0.019,1
Calml4,0.009978957,0.1165914,0.628,0.568,1
Hspa4l,0.00998265,0.311600053,0.596,0.587,1
Ccl7,0.010001512,-0.711749224,0.141,0.075,1
Mss51,0.010012213,-1.073921277,0.117,0.055,1
Entpd5,0.010014887,-0.283432947,0.333,0.235,1
Ino80,0.010024311,0.30218392,0.203,0.163,1
Polr2i,0.0100347,-0.371474173,0.352,0.252,1
Rpl27,0.010036857,-0.201990377,0.794,0.701,1
Pde7b,0.010052935,-1.911232128,0.052,0.014,1
Prkcsh,0.010070486,0.182297023,0.323,0.274,1
4930444P10Rik,0.010074571,-0.175931312,0.357,0.263,1
Golim4,0.01008562,0.270875709,0.308,0.263,1
Chp1,0.01011022,-0.194766968,0.32,0.235,1
Mprip,0.01011518,0.129837776,0.772,0.704,1
Dzip1,0.010159608,0.337146207,0.218,0.194,1
8430426J06Rik,0.010176242,-0.801560775,0.171,0.097,1
Bsdc1,0.010180624,0.309402638,0.248,0.213,1
ENSMUSG00000133204,0.010226353,-1.828363103,0.027,0.003,1
Fahd2a,0.010229426,0.233429886,0.077,0.047,1
2810029C07Rik,0.010260655,-1.105386068,0.079,0.03,1
Gm44009,0.010270354,1.750977784,0.045,0.097,1
Nusap1,0.010282275,-0.393370252,0.166,0.097,1
Cops7a,0.010310047,0.327715546,0.156,0.114,1
Herc4,0.010312735,0.336139764,0.313,0.283,1
Slc3a2,0.010336936,-0.357166923,0.516,0.407,1
ENSMUSG00000124933,0.010339781,-0.955267294,0.139,0.072,1
Usp6nl,0.010340897,0.267568772,0.474,0.44,1
Phactr4,0.010358757,0.299046264,0.283,0.249,1
Ndufaf2,0.010358957,-0.102629815,0.28,0.208,1
Rtn3,0.010360135,0.13303155,0.407,0.338,1
Cpne3,0.010367603,0.533492465,0.176,0.163,1
Lrrc36,0.010374792,-0.111800119,0.526,0.432,1
Spmip2,0.010388207,-0.132583619,0.047,0.014,1
Prkar2b,0.010393465,-0.352682688,0.397,0.294,1
Dnal1,0.010454237,-0.516186555,0.395,0.291,1
Tob1,0.010460195,-0.38499576,0.459,0.352,1
Krt75,0.010474069,-0.347939735,0.156,0.091,1
Eif1,0.010477864,-0.134719283,0.965,0.92,1
Mybphl,0.010532944,-1.017934488,0.069,0.025,1
Ephb3,0.010583794,-0.315410771,0.179,0.111,1
Ldc1,0.010594825,-0.992279897,0.025,0.003,1
Gm57848,0.010596739,0.423702289,0.283,0.277,1
Smpdl3a,0.010605494,-0.394483959,0.253,0.166,1
Pgm2l1,0.010633591,0.108563095,0.335,0.274,1
ENSMUSG00000127766,0.010635177,-2.088877555,0.035,0.006,1
Papola,0.010643204,-0.126220168,0.561,0.463,1
Cep85l,0.010643971,1.215097691,0.079,0.141,1
Timm13,0.010665312,0.196089214,0.633,0.576,1
BC021767,0.010701083,-1.734632971,0.074,0.028,1
Dtna,0.010703062,-0.447993369,0.303,0.208,1
Fads3,0.010703909,0.560012822,0.191,0.18,1
Cox20,0.010728245,0.20765586,0.263,0.213,1
ENSMUSG00000139511,0.010733382,-0.904826728,0.127,0.064,1
Chd8,0.010753668,0.680008354,0.241,0.266,1
Ddo,0.010774028,-0.158134744,0.422,0.321,1
Fbln1,0.010797286,-0.602910651,0.208,0.127,1
Mcee,0.01080079,-0.219143924,0.524,0.416,1
Psme1,0.010805646,0.197980862,0.459,0.413,1
Tango2,0.010862415,-0.681129952,0.156,0.086,1
Sqor,0.010889328,0.410787104,0.203,0.183,1
Gstp2,0.010901054,0.523342119,0.191,0.163,1
Tnfrsf19,0.010917017,-0.831218563,0.112,0.053,1
Gm11210,0.010950173,-1.239713801,0.079,0.03,1
Camsap1,0.01096245,-0.233792495,0.226,0.152,1
Psmd8,0.010970024,0.170817541,0.3,0.241,1
Gm49358,0.010998649,-0.431775538,0.114,0.061,1
Dvl1,0.011029642,-0.647319599,0.139,0.075,1
Vps13c,0.011048611,0.680319524,0.102,0.083,1
Kif9,0.011069115,-0.12799428,0.491,0.396,1
Grb7,0.011093663,-0.131743056,0.208,0.141,1
Secisbp2l,0.011114726,0.12146148,0.129,0.083,1
Yipf1,0.011117611,0.164803479,0.293,0.241,1
Gm16066,0.011144106,-0.502650383,0.079,0.033,1
Abcc3,0.011148683,1.309540556,0.084,0.105,1
ENSMUSG00000132832,0.011160119,-0.488708745,0.221,0.139,1
ENSMUSG00000124059,0.011167004,-1.868305836,0.069,0.025,1
Cdcp1,0.01118459,0.166682768,0.27,0.224,1
Gm26631,0.011195136,-2.910336648,0.047,0.014,1
Ccdc50,0.011208984,-0.214148252,0.149,0.094,1
Hspg2,0.011225476,-1.309907961,0.092,0.039,1
Acsbg2,0.011246299,-2.365501996,0.035,0.006,1
Gm12860,0.011250721,-2.255348447,0.035,0.006,1
ENSMUSG00000127498,0.011252254,-2.190102935,0.035,0.006,1
Rpl29,0.011271046,-0.286655279,0.777,0.687,1
Gm20186,0.011298354,0.462218476,0.345,0.357,1
Lcp1,0.011376233,0.624991282,0.144,0.119,1
Clca3a1,0.011389723,1.361967653,0.065,0.102,1
Zfand2a,0.011390602,-0.273113776,0.099,0.055,1
Lonp1,0.01141051,0.536575946,0.122,0.091,1
Lamp5,0.01144393,-2.299326395,0.027,0.003,1
Psmd1,0.011460488,0.503081477,0.337,0.357,1
Abi3bp,0.011476267,-0.943065844,0.122,0.061,1
Nr1i2,0.011492239,0.102584681,0.119,0.069,1
Golph3,0.011493531,0.249417155,0.422,0.391,1
Necap2,0.011511161,-0.792562548,0.159,0.089,1
Fxr1,0.011522404,-0.307819235,0.3,0.213,1
Ccdc57,0.011564713,-0.259445959,0.553,0.446,1
Hacd1,0.011566288,-0.546954371,0.261,0.172,1
Ppp2r2b,0.011569061,-1.05340981,0.065,0.022,1
Luc7l2,0.011569549,0.243189428,0.422,0.404,1
Hspa5,0.011571861,0.196825256,0.732,0.698,1
Gm31659,0.011579434,1.580278553,0.04,0.091,1
Spop,0.011585913,-0.149555347,0.613,0.512,1
Selenop,0.011602618,-0.438600534,0.179,0.108,1
Ubxn2a,0.01160446,-0.500203825,0.206,0.127,1
Ctr9,0.011609877,0.97581314,0.141,0.186,1
Psmb2,0.01162182,-0.239313149,0.459,0.355,1
Diablo,0.011623545,-0.264000592,0.285,0.202,1
Dusp11,0.011631078,0.389483609,0.337,0.319,1
Ykt6,0.011657944,0.185098438,0.136,0.1,1
Cul3,0.011668776,-0.178715104,0.253,0.177,1
Hip1r,0.011671888,0.321821495,0.323,0.294,1
ENSMUSG00000121869,0.01170443,0.123701822,0.548,0.493,1
Zfp503,0.011711557,-0.781197925,0.087,0.036,1
Gdi1,0.011726947,0.261897405,0.325,0.277,1
Lgr4,0.011784833,-0.562067907,0.256,0.169,1
Pafah1b2,0.011813388,0.242943907,0.246,0.199,1
Niban2,0.011820622,0.350500635,0.511,0.507,1
Dnajc19,0.011821344,0.121485397,0.203,0.15,1
Ptgfr,0.01182675,-0.987319113,0.025,0.003,1
Cetn3,0.011835485,-0.103560269,0.34,0.263,1
Yeats2,0.011842924,-0.631789915,0.28,0.191,1
Itpa,0.011851552,-0.404994657,0.146,0.083,1
Sdhc,0.011851803,0.223007073,0.362,0.313,1
Pxn,0.011854738,-0.352851155,0.387,0.285,1
4930445E18Rik,0.011887376,-0.915367047,0.248,0.172,1
Irf2bpl,0.011890589,-0.307220161,0.4,0.299,1
Canx,0.011912252,-0.177888228,0.409,0.321,1
Stim1,0.011913272,0.3922886,0.375,0.363,1
Erich5,0.011944684,-0.574827175,0.141,0.078,1
Drc7,0.011949831,0.118582169,0.469,0.402,1
Dcaf13,0.011957954,-0.84380577,0.127,0.064,1
Cox17,0.011961158,-0.353476319,0.558,0.452,1
Vwa8,0.011973858,0.259304733,0.256,0.222,1
Septin11,0.01199632,0.678315827,0.228,0.249,1
Gm49207,0.012012848,0.461349134,0.156,0.13,1
Ube4b,0.012023888,-0.616780692,0.231,0.147,1
Dpt,0.012024954,-0.699651463,0.169,0.097,1
Agap1,0.012026328,0.199487206,0.519,0.471,1
ENSMUSG00000140722,0.012028985,-1.007171774,0.127,0.064,1
Wee1,0.012049948,0.235933981,0.156,0.116,1
Mettl16,0.012053261,-0.549512423,0.134,0.069,1
Snx9,0.012067894,0.941717121,0.179,0.213,1
Nudt16,0.012070289,-1.393900879,0.094,0.042,1
Psmc5,0.012070495,-0.366968035,0.419,0.316,1
Zfp54,0.012119424,-1.276106364,0.06,0.019,1
Laptm4b,0.012153239,-0.305601471,0.372,0.274,1
Map7d1,0.012154147,0.464221948,0.362,0.363,1
Rpl13a,0.012155705,-0.136118175,0.95,0.895,1
Dync2h1,0.012191583,-0.128952776,0.692,0.596,1
Zfp451,0.012192351,-0.558459869,0.099,0.047,1
Spata17,0.012219308,-0.352813566,0.588,0.482,1
Bcl2l1,0.01222274,0.693682382,0.213,0.283,1
Selenok,0.012226107,0.11331562,0.598,0.546,1
Creld1,0.012236307,0.431019825,0.087,0.055,1
Ttll6,0.012268536,-0.325657532,0.37,0.271,1
Pias4,0.012302455,-0.948588642,0.171,0.1,1
Epha2,0.012325923,0.344179354,0.494,0.49,1
Kras,0.012327462,0.136548657,0.31,0.249,1
Psma1,0.012343714,-0.213466743,0.273,0.194,1
Sap130,0.012365228,0.110887204,0.266,0.213,1
Pdcd10,0.012390722,-0.492455955,0.226,0.144,1
Mpc1,0.01239204,-0.152561759,0.615,0.515,1
Arhgap15,0.012414383,-1.330365222,0.06,0.019,1
Dbn1,0.012434226,-0.542958599,0.203,0.127,1
Cimap1c,0.012436234,-3.356498719,0.027,0.003,1
Chd1,0.012465059,0.287778839,0.404,0.363,1
Cdc16,0.012501592,-0.310340791,0.278,0.197,1
Ppp1r12b,0.012505493,0.110503451,0.305,0.255,1
Szrd1,0.012509641,-0.12098805,0.295,0.211,1
Ptp4a1,0.012518319,0.123297525,0.454,0.399,1
Hax1,0.012522005,0.209987872,0.191,0.15,1
Tlr4,0.012523429,-0.393268012,0.144,0.083,1
Rad23a,0.012523575,-0.747431906,0.28,0.191,1
ENSMUSG00000131385,0.012566291,-3.068425275,0.027,0.003,1
Fos,0.012567092,-0.16054378,0.615,0.524,1
1700008J07Rik,0.0125717,-2.90676059,0.027,0.003,1
Srsf9,0.012602268,0.387218667,0.201,0.163,1
Gpatch8,0.012609292,-0.421146851,0.325,0.23,1
Gm15851,0.012613064,-2.491241475,0.04,0.008,1
ENSMUSG00000132520,0.012620186,-3.302567958,0.027,0.003,1
Nudc,0.01262518,0.176306557,0.749,0.72,1
Mideas,0.012632261,-0.33104183,0.191,0.119,1
Dnajc7,0.012644943,-0.445503645,0.417,0.319,1
Cep97,0.012661177,1.535683325,0.06,0.094,1
Umad1,0.012664732,-0.308108842,0.434,0.332,1
Aff1,0.012676012,0.175265865,0.514,0.471,1
Cimip2b,0.012693213,0.17338989,0.315,0.258,1
Nelfb,0.012718008,-0.258583233,0.323,0.233,1
Stk40,0.012739617,0.22472561,0.429,0.382,1
Fn3krp,0.012756727,0.776848891,0.057,0.033,1
Vgll4,0.012758218,-0.300676399,0.402,0.302,1
Cass4,0.012762956,-1.753148591,0.04,0.008,1
Dync2i1,0.012771805,-0.144155849,0.697,0.598,1
Slc7a11,0.012778079,0.741002407,0.221,0.285,1
Ube2j1,0.012778444,-0.944650961,0.194,0.116,1
ENSMUSG00000126246,0.01278879,-0.587750453,0.134,0.072,1
Dbndd2,0.012803723,-1.212252088,0.087,0.036,1
Ppfia3,0.012825136,0.683585909,0.146,0.152,1
Vti1b,0.01282532,-0.306719353,0.243,0.163,1
Pde8b,0.012826901,-2.743001139,0.027,0.003,1
Bud13,0.012839119,-0.73193078,0.094,0.042,1
Taf15,0.012846355,-0.20485165,0.385,0.294,1
Gm41253,0.012847094,-2.508148703,0.027,0.003,1
Rap1b,0.012880484,-0.356235741,0.35,0.252,1
Cmtm2a,0.01289404,-2.6020012,0.027,0.003,1
Sec11c,0.012894082,0.130025492,0.412,0.366,1
Sntn,0.012895818,-0.215537455,0.667,0.565,1
Angel2,0.012900849,-1.172436706,0.114,0.055,1
Lnpep,0.012920205,0.213858995,0.179,0.133,1
Ext1,0.012925329,-0.425362328,0.377,0.277,1
Endog,0.013025548,-0.27385132,0.409,0.307,1
Rasgrp2,0.013034774,-2.31108291,0.057,0.019,1
Rpl35,0.013036597,0.174776092,0.836,0.795,1
Pxk,0.013059763,0.174358397,0.499,0.457,1
Ikzf2,0.013074726,-0.249037964,0.293,0.211,1
Mrps24,0.013082876,0.156899415,0.387,0.324,1
Mafk,0.013084409,0.301780778,0.266,0.224,1
Mical3,0.013095969,0.367326278,0.372,0.355,1
Lgals1,0.01312851,-0.531671219,0.285,0.199,1
C4b,0.013137133,0.184031809,0.203,0.155,1
Zfp667,0.013152136,-1.615541262,0.084,0.036,1
Col4a1,0.013159121,-1.88841685,0.072,0.028,1
Acer1,0.013182043,-1.238235458,0.032,0.006,1
Rpl24,0.013184096,-0.108869925,0.841,0.759,1
4930455G09Rik,0.013218742,-1.811573216,0.04,0.008,1
Nos1ap,0.013241166,-0.179755782,0.437,0.341,1
Dixdc1,0.013261566,-0.111617327,0.345,0.271,1
Dynlt2b,0.013277679,0.195203033,0.278,0.224,1
Lzts2,0.013279943,-0.102564205,0.253,0.183,1
Rtca,0.013282919,-0.22271305,0.223,0.144,1
Igf2bp2,0.013289716,-0.169526085,0.33,0.247,1
Cert1,0.013301685,0.241181447,0.266,0.216,1
Dag1,0.013304725,-0.237854239,0.437,0.338,1
Smpx,0.013312902,-2.504379026,0.045,0.011,1
Acer3,0.013317532,0.290891073,0.275,0.244,1
Tnn,0.013322464,-2.240251052,0.045,0.011,1
Per2,0.013356245,-0.329042064,0.365,0.266,1
A4galt,0.013385936,0.512561279,0.119,0.097,1
Fam241b,0.013399485,2.132897048,0.042,0.078,1
Vps28,0.013417055,-0.189179134,0.395,0.299,1
Plaur,0.013420895,-0.206736841,0.906,0.837,1
Emb,0.01346156,0.128460191,0.454,0.388,1
Mbd5,0.013477547,-0.651025243,0.256,0.169,1
Polr2g,0.013490838,0.157806726,0.164,0.122,1
Nhsl1,0.013529353,-0.766009187,0.221,0.144,1
Maf1,0.013562205,-0.785580006,0.169,0.097,1
Kif24,0.01357964,-0.586435722,0.218,0.139,1
Cdc5l,0.01359897,0.153062833,0.243,0.175,1
Etl4,0.013608103,0.203007162,0.546,0.493,1
Usp33,0.013620355,-0.169977494,0.191,0.13,1
Sf3b1,0.013638239,-0.170641571,0.509,0.404,1
Arhgap17,0.013639523,0.380390131,0.146,0.094,1
Aspn,0.013647918,-2.3630633,0.045,0.011,1
Klhl7,0.013655779,0.320080156,0.203,0.169,1
Bbip1,0.013673511,-0.177962661,0.241,0.163,1
Nthl1,0.013673512,-0.367601671,0.072,0.03,1
Cd79a,0.013706792,-2.31975455,0.04,0.008,1
Mfap1b,0.013708226,-0.460905582,0.134,0.075,1
mt-Co3,0.013710309,-0.111004183,0.963,0.914,1
Asb1,0.013715138,-0.769788071,0.169,0.097,1
Wdr47,0.01371585,-0.395029559,0.352,0.255,1
Gm15952,0.013717677,-0.646207058,0.047,0.014,1
Tmem167,0.01373323,-0.640337287,0.181,0.108,1
Tmem126a,0.013738176,0.257541416,0.129,0.086,1
Oscp1,0.013746652,-0.153983456,0.385,0.291,1
Lbp,0.013768258,0.150191185,0.464,0.418,1
